id,palabra,tiempo_tdl,tiempo_naming,edad_de_adquisicion_m,categoria_palabra
679,"convertir",515,522.35,4.56,2
680,"convicción",611,544.02,5.83,1
681,"convivir",554,520.39,4.32,1
682,"cónyuge",607,546.74,5.85,1
683,"coñac",592,531.86,5.40,1
684,"copa",473,496.04,2.96,1
685,"copia",483,489.70,3.88,1
686,"copla",553,498.50,4.64,1
687,"coraje",546,513.77,5.52,1
688,"corán",602,517.57,5.96,1
689,"coraza",533,513.48,5.16,1
690,"cordel",592,532.42,3.92,1
691,"cordón",534,495.96,2.35,1
692,"coro",514,527.86,3.88,1
693,"corona",520,508.68,2.78,1
694,"corpus",617,533.16,6.00,1
695,"corregir",491,518.11,3.84,1
696,"correo",498,495.68,3.24,1
697,"correr",505,472.42,2.32,1
698,"cortar",512,495.11,2.56,2
699,"cortesana",609,560.34,5.52,1
700,"corteza",560,528.82,4.00,1
701,"cosa",528,492.50,1.83,1
702,"coser",524,487.13,3.00,1
703,"cosmos",579,517.00,6.08,1
704,"costar",532,514.29,3.28,2
705,"coste",508,495.06,4.06,1
706,"costumbre",531,497.80,4.40,1
707,"cota",655,531.92,5.66,1
708,"coyote",551,518.12,4.60,1
709,"crear",518,504.48,3.44,2
710,"crecer",519,525.69,2.08,2
711,"crédito",539,531.79,5.49,1
712,"creer",501,497.33,2.60,2
713,"crema",533,491.67,3.56,1
714,"cremallera",624,568.55,2.86,1
715,"crepúsculo",600,576.98,6.24,1
716,"cresta",570,537.38,2.93,1
717,"criatura",588,536.43,4.28,1
718,"crimen",570,488.71,4.54,1
719,"crisis",514,481.06,4.76,1
720,"crisma",566,509.96,5.60,1
