id,palabra,valencia_m,valencia_sd,activacion_m,activacion_sd,dominancia_m,dominancia_sd,word,categoria_palabra
199,"cieno",3.77,1.57,4.51,1.44,4.22,1.60,"slime",1
200,"circo",6.20,1.82,5.56,2.13,4.72,2.05,"circus",1
201,"círculo",4.82,1.47,4.20,1.66,4.92,1.69,"circle",1
202,"cirugía",3.08,1.96,5.70,2.13,3.68,2.28,"surgery",1
203,"ciudad",5.66,1.67,5.97,1.67,4.56,2.02,"city",1
204,"cobarde",2.56,1.39,5.49,1.98,4.10,2.18,"coward",1
205,"coche",6.67,1.72,5.83,2.03,4.93,2.33,"car",1
206,"cocina",5.71,2.00,4.93,1.94,5.61,2.00,"cuisine",1
207,"cocinero",5.99,1.56,5.11,2.05,5.38,1.80,"cook",1
208,"codo",4.59,1.28,4.26,1.56,5.28,1.72,"elbow",1
209,"coito",7.26,2.20,7.58,1.78,6.07,2.35,"intercourse",1
210,"cólera",2.11,1.90,7.58,1.77,3.64,2.38,"rage",1
211,"color",6.77,1.76,5.84,2.11,5.52,2.11,"color",1
212,"columna",4.71,1.57,4.14,1.74,5.29,1.87,"column",1
213,"comedia",7.71,1.46,6.33,1.99,5.62,1.95,"comedy",1
214,"comer",7.18,1.48,5.53,1.94,5.82,1.94,"eat",1
215,"comida",6.77,1.70,5.50,2.06,5.09,1.98,"food",1
216,"comprometido",6.23,1.98,5.47,1.89,6.38,1.94,"engaged",1
217,"concentrado",6.12,1.75,5.21,2.09,6.23,2.02,"concentrate",1
218,"conejito",6.46,1.52,4.88,2.23,5.03,1.91,"bunny",1
219,"conejo",6.18,1.50,5.02,1.88,4.81,2.05,"rabbit",1
220,"confianza",7.78,1.43,5.29,2.54,5.77,2.04,"trust",1
221,"confort",8.04,1.27,3.56,2.42,6.63,1.59,"comfort",1
222,"confuso",2.78,1.44,5.78,1.94,3.28,1.88,"confused",1
223,"conocimiento",7.73,1.48,6.29,2.08,7.22,1.72,"knowledge",1
224,"considerado",6.99,1.62,4.77,1.98,5.07,2.20,"thoughtful",1
225,"consigna",4.79,1.53,4.69,1.48,4.89,1.53,"locker",1
226,"consolado",5.54,1.94,4.49,1.92,5.06,1.81,"consoled",1
227,"contaminar",1.58,1.13,6.56,1.85,4.60,2.57,"pollute",1
228,"contenido",5.21,1.80,4.27,2.15,4.63,1.99,"contents",1
229,"contexto",5.00,1.26,4.89,1.20,5.01,1.60,"context",1
230,"convencido",6.51,1.76,5.29,2.15,6.43,1.70,"confident",1
231,"corazón",6.64,1.86,6.22,1.99,4.84,2.23,"heart",1
232,"corcho",4.93,1.48,4.16,1.81,5.20,1.85,"cork",1
233,"cordero",5.38,1.65,4.74,1.44,5.06,1.57,"lamb",1
234,"corona",5.21,1.95,4.48,1.97,4.64,2.28,"crown",1
235,"corredor",4.08,2.02,5.50,2.23,4.22,2.32,"runner",1
236,"correo",6.43,1.72,5.54,1.97,4.76,1.93,"mail",1
237,"corrupto",2.08,1.46,6.14,2.03,3.38,2.41,"corrupt",1
238,"corte",2.88,1.63,6.00,2.10,3.90,1.75,"cut",1
239,"cortesía",6.92,1.33,4.80,1.92,5.76,1.83,"politeness",1
240,"cortina",4.79,1.24,4.08,1.55,5.22,1.89,"curtains",1
241,"costa",7.23,1.98,4.87,2.76,4.90,2.54,"coast",1
242,"costumbre",5.43,1.81,4.32,2.04,5.76,2.17,"custom",1
243,"cotilleo",4.19,2.24,5.72,1.99,4.64,2.40,"gossip",1
244,"cráneo",4.42,1.76,4.94,2.03,4.63,2.04,"skull",1
